,ID#,clust,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
1,1,1,28143,0,1,1,1,174,1,0,0,7000,0
2,1251,1,13522,0,1,1,1,5000,1,0,0,5162,0
3,1250,1,15352,0,1,1,1,1350,4,0,0,5359,0
4,1249,1,146086,0,1,1,1,6950,17,6950,17,5345,0
5,1248,1,35316,0,1,1,1,1250,4,500,1,5330,0
6,1247,1,33020,0,1,1,1,6155,25,1500,3,5322,0
7,1246,1,23786,0,1,1,1,16950,4,0,0,5364,0
8,1244,1,8327,0,1,1,1,0,0,0,0,5268,0
9,1252,1,13949,0,1,1,1,0,0,0,0,5374,0
10,1243,1,97752,0,1,1,1,3676,10,0,0,5309,0
11,1241,1,63638,0,1,1,1,0,0,0,0,5155,0
12,1238,1,106234,5124,2,1,1,11160,26,0,0,5238,0
13,1231,1,10009,0,1,1,1,0,0,0,0,5353,0
14,1230,1,65969,0,1,1,1,2550,5,1050,3,5419,0
15,1227,1,8740,0,1,1,1,1250,3,0,0,5395,0
16,1225,1,2278,0,1,1,1,0,0,0,0,5175,0
17,1222,1,207021,0,1,1,1,3600,4,100,1,5412,0
18,1242,1,31967,0,1,1,1,1600,4,350,2,5101,0
19,1218,1,10288,0,1,1,1,1250,3,0,0,5532,0
20,1255,1,23696,0,2,1,1,5577,10,0,0,5531,0
21,1259,1,80431,0,1,1,1,2150,2,150,1,5531,0
22,1303,1,10702,0,1,1,1,200,2,200,2,5272,0
23,1300,1,21599,0,2,1,1,5561,13,0,0,5302,0
24,1299,1,69323,0,1,1,1,5140,2,0,0,4786,0
25,1297,1,14889,0,1,1,1,1500,2,0,0,5393,0
26,1293,1,21839,0,1,1,1,1375,4,0,0,5411,0
27,1292,1,108395,0,2,1,1,8598,8,0,0,5416,0
28,1289,1,1227,0,1,1,1,0,0,0,0,5786,0
29,1256,1,55384,967,1,1,1,0,0,0,0,5309,0
30,1288,1,39601,0,1,1,1,4066,12,0,0,5434,0
31,1285,1,24698,0,1,1,1,1329,5,500,1,4267,0
32,1283,1,16103,0,1,3,1,10819,13,0,0,5427,0
33,1277,1,44760,0,1,1,1,3105,6,100,2,5455,0
34,1276,1,27469,0,1,1,1,1,3,0,0,5461,0
35,1270,1,15450,0,1,1,1,50,1,50,1,5499,0
36,1264,1,29707,0,1,1,1,300,3,0,0,5275,0
37,1261,1,81291,0,2,1,1,10522,14,1430,1,5154,0
38,1287,1,74453,0,1,1,1,5500,3,0,0,5181,0
39,1309,1,139298,0,1,1,1,0,0,0,0,4965,0
40,1216,1,39372,0,1,1,1,4296,10,0,0,5190,0
41,1214,1,38822,0,1,1,1,2000,9,0,0,5304,0
42,1154,1,8516,0,1,1,1,0,0,0,0,5566,0
43,1151,1,24813,0,1,1,1,4066,10,0,0,5225,0
